Sample,vol_init,vol_extr,factor,concentration_raw,dilution_factor,concentration_adj_dil,concentration_adj_final
VacMan_Liquid1,40,90,1,3783703.271,10,18918516.36,18918516.36
VacMan_Liquid1,40,90,1,3572263.585,10,17861317.93,17861317.93
VacMan_Liquid2,40,90,1,3600316.465,10,18001582.33,18001582.33
VacMan_Liquid2,40,90,1,4118490.235,10,20592451.18,20592451.18
VacMan_Liquid3,40,90,1,4319008.23,10,21595041.15,21595041.15
VacMan_Liquid3,40,90,1,3913770.143,10,19568850.72,19568850.72
VacMan_Pellet1,40,90,1,2413500.21,10,12067501.05,12067501.05
VacMan_Pellet1,40,90,1,2692550.014,10,13462750.07,13462750.07
VacMan_Pellet2,40,90,1,2060306.854,10,10301534.27,10301534.27
VacMan_Pellet2,40,90,1,2037538.362,10,10187691.81,10187691.81
VacMan_Pellet3,40,90,1,2846357.304,10,14231786.52,14231786.52
VacMan_Pellet3,40,90,1,3064434.764,10,15322173.82,15322173.82
NanoTrap1,10,90,4,17157878.74,10,85789393.72,343157574.9
NanoTrap1,10,90,4,17009905.98,10,85049529.92,340198119.7
NanoTrap2,10,90,4,13592138.32,10,67960691.59,271842766.4
NanoTrap2,10,90,4,10315013.17,10,51575065.87,206300263.5
NanoTrap3,10,90,4,12072448.7,10,60362243.51,241448974
NanoTrap3,10,90,4,13426932.77,10,67134663.84,268538655.4
Ultrafiltration1,40,90,1,10772259.51,10,53861297.57,53861297.57
Ultrafiltration1,40,90,1,11483624.58,10,57418122.89,57418122.89
Ultrafiltration2,40,90,1,13360165.69,10,66800828.47,66800828.47
Ultrafiltration2,40,90,1,15498923.94,10,77494619.68,77494619.68
Ultrafiltration3,40,90,1,7892698.536,10,39463492.68,39463492.68
Ultrafiltration3,40,90,1,6490159.348,10,32450796.74,32450796.74
Membrane1,40,90,1,68616285.9,10,343081429.5,343081429.5
Membrane1,40,90,1,51551657.55,10,257758287.8,257758287.8
Membrane2,40,90,1,51491687.2,10,257458436,257458436
Membrane2,40,90,1,37185622.32,10,185928111.6,185928111.6
Membrane3,40,90,1,60248506.26,10,301242531.3,301242531.3
Membrane3,40,90,1,59992817.18,10,299964085.9,299964085.9
PEG1,40,90,1,2452675.724,10,12263378.62,12263378.62
PEG1,40,90,1,4264906.314,10,21324531.57,21324531.57
PEG2,40,90,1,3378962.429,10,16894812.14,16894812.14
PEG2,40,90,1,3124424.661,10,15622123.3,15622123.3
PEG3,40,90,1,3024537.873,10,15122689.37,15122689.37
PEG3,40,90,1,3022294.134,10,15111470.67,15111470.67
Unconcentrated_spike1,0.5,90,80,4111121.982,10,20555609.91,1644448793
Unconcentrated_spike1,0.5,90,80,3821470.409,10,19107352.05,1528588164
Unconcentrated_spike2,0.5,90,80,3141411.587,10,15707057.94,1256564635
Unconcentrated_spike2,0.5,90,80,2503031.586,10,12515157.93,1001212634
Unconcentrated_spike3,0.5,90,80,6642863.156,10,33214315.78,2657145262
Unconcentrated_spike3,0.5,90,80,7173587.939,10,35867939.7,2869435176
Unconcentrated1,0.5,90,80,829854.1278,10,4149270.639,331941651.1
Unconcentrated1,0.5,90,80,975850.1442,10,4879250.721,390340057.7
Unconcentrated2,0.5,90,80,1783342.326,10,8916711.632,713336930.6
Unconcentrated2,0.5,90,80,1336554.92,10,6682774.599,534621967.9
Unconcentrated3,0.5,90,80,1634845.391,10,8174226.955,653938156.4
Unconcentrated3,0.5,90,80,1590290.985,10,7951454.927,636116394.2
Direct_Extract1,0.5,90,80,7224.134276,10,36120.67138,2889653.711
Direct_Extract1,0.5,90,80,6729.23652,10,33646.1826,2691694.608
Direct_Extract2,0.5,90,80,5904.677376,10,29523.38688,2361870.95
Direct_Extract2,0.5,90,80,5965.27992,10,29826.3996,2386111.968
Direct_Extract3,0.5,90,80,10058.3017,10,50291.50848,4023320.679
Direct_Extract3,0.5,90,80,12648.19551,10,63240.97756,5059278.205
