Sample,Target,Concentration,Replicate,Method,Concentration_adj,Viral_type
Direct_Extract_1-10_Dilution,LCMV,1105,R1,DE,1105,Spike-in
Direct_Extract_1-10_Dilution,MS2,25803,R1,DE,25803,Spike-in
Direct_Extract_1-10_Dilution,LCMV,1113,R2,DE,1113,Spike-in
Direct_Extract_1-10_Dilution,MS2,24364,R2,DE,24364,Spike-in
Direct_Extract_1-10_Dilution,LCMV,1135,R3,DE,1135,Spike-in
Direct_Extract_1-10_Dilution,MS2,24645,R3,DE,24645,Spike-in
Direct_Dilute,PhiX174,264.7,R1,DE,264.7,Spike-in
Direct_Dilute,Vaccinia,422.3,R1,DE,422.3,Spike-in
Direct_Dilute,Influenza PR8,1540.4,R1,DE,1540.4,Spike-in
Direct_Dilute,PhiX174,320.6,R2,DE,320.6,Spike-in
Direct_Dilute,Vaccinia,472.7,R2,DE,472.7,Spike-in
Direct_Dilute,Influenza PR8,1646,R2,DE,1646,Spike-in
Direct_Dilute,PhiX174,374.4,R3,DE,374.4,Spike-in
Direct_Dilute,Vaccinia,512.3,R3,DE,512.3,Spike-in
Direct_Dilute,Influenza PR8,1722.2,R3,DE,1722.2,Spike-in
Membrane,Astrovirus,29.7,R1,MEM,29.7,Endogenous
Membrane,LCMV,16.96,R1,MEM,16.96,Spike-in
Membrane,MS2,472.6,R1,MEM,472.6,Spike-in
Membrane,PhiX174,109.6,R1,MEM,109.6,Spike-in
Membrane,Vaccinia,158.4,R1,MEM,158.4,Spike-in
Membrane,Influenza PR8,145,R1,MEM,145,Spike-in
Membrane,HPV-E1,1857.9,R1,MEM,1857.9,Endogenous
Membrane,Adenovirus,37.51,R1,MEM,37.51,Endogenous
Membrane,RotavirusA,1.72,R1,MEM,1.72,Endogenous
Membrane,Astrovirus,46.32,R2,MEM,46.32,Endogenous
Membrane,LCMV,16,R2,MEM,16,Spike-in
Membrane,MS2,543.1,R2,MEM,543.1,Spike-in
Membrane,PhiX174,123.3,R2,MEM,123.3,Spike-in
Membrane,Vaccinia,138.6,R2,MEM,138.6,Spike-in
Membrane,Influenza PR8,136.4,R2,MEM,136.4,Spike-in
Membrane,HPV-E1,2178.3,R2,MEM,2178.3,Endogenous
Membrane,Adenovirus,35.32,R2,MEM,35.32,Endogenous
Membrane,RotavirusA,1.213,R2,MEM,1.213,Endogenous
Membrane,Astrovirus,236.3,R3,MEM,236.3,Endogenous
Membrane,LCMV,23.24,R3,MEM,23.24,Spike-in
Membrane,MS2,590.4,R3,MEM,590.4,Spike-in
Membrane,PhiX174,135.1,R3,MEM,135.1,Spike-in
Membrane,Vaccinia,174.1,R3,MEM,174.1,Spike-in
Membrane,Influenza PR8,142.3,R3,MEM,142.3,Spike-in
Membrane,HPV-E1,3753.9,R3,MEM,3753.9,Endogenous
Membrane,Adenovirus,54.41,R3,MEM,54.41,Endogenous
