genus	envelope	size_min	size_max	genomesize	genomestr	genometype	Nuc
Alphacoronavirus	enveloped	120	120	30000	linear	ss+	RNA
Alphainfluenzavirus	non-enveloped	80	120	13500	segment	ss-	RNA
Alphapapillomavirus	non-enveloped	60	60	8000	circular	ds	DNA
Alphapolyomavirus	non-enveloped	50	50	5000	circular	ds	DNA
Alpharetrovirus	enveloped	80	100	7200	linear	ss+	RNA
Alphatorquevirus	non-enveloped	30	32	3800	circular	ss	DNA
Andurilvirus	non-enveloped			2100	circular	ss	DNA
Aviadenovirus	non-enveloped	90	90	35000	linear	ds	DNA
Betacoronavirus	enveloped	120	120	30000	linear	ss+	RNA
Betapapillomavirus	non-enveloped	60	60	8000	circular	ds	DNA
Betapolyomavirus	non-enveloped	50	50	5000	circular	ds	DNA
Bocaparvovirus	non-enveloped	21	22	5500	linear	ss	DNA
Brevihamaparvovirus	non-enveloped	21	22	4000	linear	ss	DNA
Cardiovirus	non-enveloped	30	30	7800	linear	ss+	RNA
Circovirus	non-enveloped	17	17	1900	circular	ss	DNA
Comovirus	non-enveloped	28	30	9100	segment	ss+	RNA
Copiparvovirus	non-enveloped	18	26	5000	linear	ss	DNA
Cosavirus	non-enveloped	30	30	7500	linear	ss+	RNA
Cripavirus	non-enveloped	30	30	9000	linear	ss+	RNA
Cytomegalovirus	enveloped	150	200	200000	linear	ds	DNA
Deltapolyomavirus	non-enveloped	50	50	5000	circular	ds	DNA
Dependoparvovirus	non-enveloped	18	26	4700	linear	ss	DNA
Dyothetapapillomavirus	non-enveloped	60	60	8000	circular	ds	DNA
Enterovirus	non-enveloped	30	30	7700	linear	ss+	RNA
Erythroparvovirus	non-enveloped	18	26	5000	linear	ss	DNA
Gammapapillomavirus	non-enveloped	60	60	8000	circular	ds	DNA
Gyrovirus	non-enveloped	25	25	2300	circular	ss	DNA
Hepatovirus	non-enveloped	30	30	7400	linear	ss+	RNA
Iflavirus	non-enveloped	30	30	9200	linear	ss+	RNA
Iotapapillomavirus	non-enveloped	60	60	8000	circular	ds	DNA
Kobuvirus	non-enveloped	30	30	8250	linear	ss+	RNA
Luteovirus	non-enveloped	25	30	5500	linear	ss+	RNA
Lymphocryptovirus	enveloped	150	200	180000	linear	ds	DNA
Mamastrovirus	non-enveloped	35	35	6900	linear	ss+	RNA
Mammarenavirus	enveloped	60	300	11000	segment	ss-	RNA
Mastadenovirus	non-enveloped	90	90	35000	linear	ds	DNA
Metapneumovirus	enveloped	150	150	13000	linear	ss-	RNA
Molluscipoxvirus	enveloped	200	320	190000	linear	ds	DNA
Morbillivirus	enveloped	150	300	15500	linear	ss-	RNA
Mupapillomavirus	non-enveloped	52	55	8000	circular	ds	DNA
Nepovirus	non-enveloped	28	30	11400	segment	ss+	RNA
Norovirus	non-enveloped	38	40	7800	linear	ss+	RNA
Nupapillomavirus	non-enveloped	52	55	8000	circular	ds	DNA
Orthopicobirnavirus	non-enveloped	35	40	4000	segment	ds	RNA
Orthopoxvirus	enveloped	200	250	210000	linear	ds	DNA
Parechovirus	non-enveloped	30	30	7300	linear	ss+	RNA
Paslahepevirus	enveloped	32	34	7200	linear	ss+	RNA
Penstyldensovirus	non-enveloped	18	26	5000	linear	ss	DNA
Polerovirus	non-enveloped	23	23	5500	linear	ss+	RNA
Protoparvovirus	non-enveloped	18	26	5000	linear	ss	DNA
Respirovirus	enveloped	150	150	15000	linear	ss-	RNA
Rhadinovirus	enveloped	150	200	180000	linear	ds	DNA
Rocahepevirus	enveloped	32	34	7200	linear	ss+	RNA
Rosavirus	non-enveloped	30	30	9000	linear	ss+	RNA
Roseolovirus	enveloped	150	200	200000	linear	ds	DNA
Rotavirus	non-enveloped	80	80	18550	segment	ds	RNA
Salivirus	non-enveloped	30	30	7000	linear	ss+	RNA
Sapovirus	non-enveloped	27	40	7800	linear	ss+	RNA
Scindoambidensovirus	non-enveloped	18	26	5000	linear	ss	DNA
Simplexvirus	enveloped	150	200	152000	linear	ds	DNA
Taupapillomavirus	non-enveloped	60	60	8000	circular	ds	DNA
Tetraparvovirus	non-enveloped	18	26	5000	linear	ss	DNA
Torovirus	enveloped	120	140	28000	linear	ss+	RNA
Torradovirus	non-enveloped	30	30	13200	segment	ss+	RNA
Triatovirus	non-enveloped	30	30	9000	linear	ss+	RNA
unclassified Astroviridae genus	non-enveloped	35	35	6900	linear	ss+	RNA
unclassified Circoviridae genus	non-enveloped	17	17	1900	circular	ss	DNA
unclassified Dicistroviridae genus	non-enveloped	30	30	9600	linear	ss+	RNA
unclassified Iflaviridae genus	non-enveloped	30	30	9200	linear	ss+	RNA
unclassified Parvoviridae genus	non-enveloped	18	26	5000	linear	ss	DNA
unclassified Retroviridae genus	enveloped	80	120	9000	linear	ss+	RNA
Varicellovirus	enveloped	150	200	125000	linear	ds	DNA
