Sample	Accession	bases_covered_1x	bases_covered_10x	Per_cov_1x	Per_cov_10x	Reads_mapped	Library_Size	Num_MM_reads	percent_MM	unique_reads	percent_mapped	Genome_Length	mean_depth_mapped	max_depth	median_depth	TPM	EffectiveLength	Salmon_TPM	Salmon_read_number	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	Sampleshort	Experiment	Replicate	Replicate2	WWTP	Method
1	MEM1_HybCap	AB010145.1	4091	159	49.58	1.93	184	996786	43	23.37	141	0.0184593282810954	8251	3.527	16	3	1956.12144687449	15817.564	803.165649	27.621	8251	Aichi virus genomic RNA, complete genome	1313215	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus 1	Aichi virus 1	MEM1	WWDv_002	R1	R1	WWTP I	MEM
2	MEM1_HybCap	AB448776.1	12833	926	36.44	2.63	758	996786	437	57.65	321	0.0760444067232084	35215	3.579	20	2	1888.10477996752	67969.426	798.414651	117.99	35215	Human adenovirus 37 genomic DNA, complete genome, isolate: 1991	52275	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus D37	Human adenovirus D37	MEM1	WWDv_002	R1	R1	WWTP I	MEM
3	MEM1_HybCap	AB614356.1	2746	295	36.73	3.95	105	996786	0	0	105	0.0105338558125816	7476	3.676	21	2	1231.98263145467	20021.926	712.121814	31	7476	Sapovirus Hu/GI.2/BR-DF01/BRA/2009 RNA, complete genome	985691	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/GI.2/BR-DF01/BRA/2009	Sapovirus Hu/GI.2/BR-DF01/BRA/2009	MEM1	WWDv_002	R1	R1	WWTP I	MEM
4	MEM1_HybCap	AC_000007.1	5941	0	16.53	0	253	996786	205	81.03	48	0.0253815763865062	35937	1.771	6	2	617.537421876393	75552.852	267.620473	43.961	35937	Human adenovirus 2, complete genome	10515	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 2	Human adenovirus 2	MEM1	WWDv_002	R1	R1	WWTP I	MEM
5	MEM1_HybCap	AC_000008.1	3402	0	9.47	0	159	996786	138	86.79	21	0.0159512673733379	35938	1.765	6	2	388.085841565253	74659.537	109.86843	17.834	35938	Human adenovirus 5, complete genome	28285	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 5	Human adenovirus 5	MEM1	WWDv_002	R1	R1	WWTP I	MEM
6	MEM1_HybCap	AC_000017.1	5084	45	14.12	0.12	218	996786	151	69.27	67	0.0218702911156457	36001	1.879	10	2	531.161401416263	75189.38	256.858676	41.991	36001	Human adenovirus type 1, complete genome	10533	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 1	Human adenovirus 1	MEM1	WWDv_002	R1	R1	WWTP I	MEM
7	MEM1_HybCap	AF036710.1	3182	115	64.47	2.33	119	996786	0	0	119	0.0119383699209259	4936	3.62	15	3	2114.73712313395	12108.018	1272.069294	33.488	4936	Rat parvovirus 1a nonstructural protein (NS1) and nonstructural protein (NS2) genes, complete cds	74581	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Protoparvovirus	Rodent protoparvovirus 2	Rat parvovirus 1	Rat parvovirus 1	MEM1	WWDv_002	R1	R1	WWTP I	MEM
8	MEM1_HybCap	AF043303.1	2192	9	46.85	0.19	68	996786	0	0	68	0.00682192566910049	4679	3.009	10	2	1274.79527857468	10271.756	492.545616	11	4679	Adeno-associated virus 2, complete genome	10804	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus A	adeno-associated virus 2	adeno-associated virus 2	MEM1	WWDv_002	R1	R1	WWTP I	MEM
9	MEM1_HybCap	AF108105.1	10670	276	30.4	0.79	673	996786	447	66.42	226	0.0675169996368328	35100	3.098	16	2	1681.87039717927	68287.006	537.793624	79.846	35100	Human adenovirus type 17 complete genome	46922	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus 17	Human adenovirus 17	MEM1	WWDv_002	R1	R1	WWTP I	MEM
10	MEM1_HybCap	AM749299.1	28692	4600	84.98	13.62	1715	996786	9	0.52	1706	0.172052978272167	33763	5.738	28	5	4455.61517524116	87333.982	2264.08743	429.91	33763	Human adenovirus type 31 complete genome, serotype 31	10529	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus A	Human adenovirus 31	Human adenovirus 31	MEM1	WWDv_002	R1	R1	WWTP I	MEM
11	MEM1_HybCap	CY090846.1	947	697	94.51	69.56	691	996786	59	8.54	632	0.0693228034904182	1002	65.589	261	20	60491.5767280088	2218.767	35141.8857	169.527	1002	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	MEM1	WWDv_002	R1	R1	WWTP I	MEM
12	MEM1_HybCap	CY090847.1	1311	931	94.66	67.22	552	996786	0	0	552	0.0553779848432863	1385	41.232	134	33	34960.1979599164	3217.246	15913.106844	111.312	1385	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1)) neuraminidase (NA) gene, complete cds	506344	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	Influenza A virus (A/United Kingdom/1-MA/1933(H1N1))	MEM1	WWDv_002	R1	R1	WWTP I	MEM
