Sample	Accession	bases_covered_1x	bases_covered_10x	Per_cov_1x	Per_cov_10x	Reads_mapped	Library_Size	Num_MM_reads	percent_MM	unique_reads	percent_mapped	Genome_Length	mean_depth_mapped	max_depth	median_depth	TPM	EffectiveLength	Salmon_TPM	Salmon_read_number	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	AB010145.1	4483	624	54.33	7.56	288	1579409	67	23.2638888888889	221	0.0182346687906679	8251	4.991	22	3	1921.40570076887	7375.3	1797.656915	99.428	8251	Aichi virus genomic RNA, complete genome	1313215	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus 1	Aichi virus 1
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	AB448776.1	14988	1485	42.56	4.22	1213	1579409	719	59.2745259686727	494	0.0768008793162506	35215	4.599	25	3	1896.12202266773	35608.551	1515.686275	404.747	35215	Human adenovirus 37 genomic DNA, complete genome, isolate: 1991	52275	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus D37	Human adenovirus D37
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	AB614356.1	3187	322	42.63	4.31	140	1579409	0	0	140	0.00886407510657468	7476	4.231	21	3	1030.84155463509	10984.615	707.510156	58.282	7476	Sapovirus Hu/GI.2/BR-DF01/BRA/2009 RNA, complete genome	985691	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/GI.2/BR-DF01/BRA/2009	Sapovirus Hu/GI.2/BR-DF01/BRA/2009
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	AB623037.2	840	0	11.29	0	24	1579409	0	0	24	0.00151955573255566	7442	2.75	6	2	177.523049774298	10291.071	39.628494	3.058	7442	Sapovirus Hu/OH08021/2008/JP genomic RNA, complete genome	1003429	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/OH08021/2008/JP	Sapovirus Hu/OH08021/2008/JP
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	AB746853.1	2482	55	7.1	0.16	192	1579409	140	72.9166666666667	52	0.0121564458604453	34978	2.501	10	2	302.161709970913	35788.923	35.893641	9.634	34978	Human adenovirus 8 DNA, complete genome, strain: Trim variant	31545	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus D8	Human adenovirus D8
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	AC_000007.1	7001	0	19.48	0	379	1579409	302	79.6833773087071	77	0.0239963176099414	35937	2.146	8	2	580.537882617849	38305.374	411.979638	118.347	35937	Human adenovirus 2, complete genome	10515	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 2	Human adenovirus 2
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	AC_000008.1	4304	0	11.98	0	247	1579409	220	89.0688259109312	27	0.0156387610808853	35938	1.912	6	2	378.334741424839	38048.532	116.333079	33.194	35938	Human adenovirus 5, complete genome	28285	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 5	Human adenovirus 5
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	AC_000017.1	6589	129	18.3	0.36	351	1579409	242	68.945868945869	109	0.0222235025886265	36001	2.469	13	2	536.692747288888	38310.338	367.948842	105.712	36001	Human adenovirus type 1, complete genome	10533	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 1	Human adenovirus 1
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	AF022937.1	956	0	9.55	0	22	1579409	0	0	22	0.00139292608817602	10011	2.316	6	2	120.970198620048	12184.712	186.786158	17.068	10011	Rhopalosiphum padi virus complete genome	66834	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Cripavirus	Rhopalosiphum padi virus	unclassified Rhopalosiphum padi virus subspecies/strain	unclassified Rhopalosiphum padi virus strain
MEM1_HybCap_S152718_trimmed_host_filtered_mapped	AF036710.1	3801	469	77.01	9.5	200	1579409	0	0	200	0.0126629644379638	4936	5.058	17	4	2230.42702664155	7148.471	2564.249955	137.465	4936	Rat parvovirus 1a nonstructural protein (NS1) and nonstructural protein (NS2) genes, complete cds	74581	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Protoparvovirus	Rodent protoparvovirus 2	Rat parvovirus 1	Rat parvovirus 1
